Rule ID,Description,URL,,,,,
S4348,"""iterator"" should not return ""this""",https://rules.sonarsource.com/java/RSPEC-4348,,,,,
S4349,"""write(byte[],int,int)"" should be overridden",https://rules.sonarsource.com/java/RSPEC-4349,,,,,
S4424,TrustManagers should not blindly accept any certificates,https://rules.sonarsource.com/java/RSPEC-4424,,,,,
S4433,LDAP connections should be authenticated,https://rules.sonarsource.com/java/RSPEC-4433,,,,,
S4435,XML transformers should be secured,https://rules.sonarsource.com/java/RSPEC-4435,,,,,
S4499,SMTP SSL connection should check server identity,https://rules.sonarsource.com/java/RSPEC-4499,,,,,
S100,Method names should comply with a naming convention,https://rules.sonarsource.com/java/RSPEC-100,,,,,
S101,Class names should comply with a naming convention,https://rules.sonarsource.com/java/RSPEC-101,,,,,
S114,Interface names should comply with a naming convention,https://rules.sonarsource.com/java/RSPEC-114,,,,,
S115,Constant names should comply with a naming convention,https://rules.sonarsource.com/java/RSPEC-115,,,,,
S116,Field names should comply with a naming convention,https://rules.sonarsource.com/java/RSPEC-116,,,,,
S117,Local variable and method parameter names should comply with a naming convention,https://rules.sonarsource.com/java/RSPEC-117,,,,,
S119,Type parameter names should comply with a naming convention,https://rules.sonarsource.com/java/RSPEC-119,,,,,
S120,Package names should comply with a naming convention,https://rules.sonarsource.com/java/RSPEC-120,,,,,
S1110,Redundant pairs of parentheses should be removed,https://rules.sonarsource.com/java/RSPEC-1110,,,,,
S1111,The Object.finalize() method should not be called,https://rules.sonarsource.com/java/RSPEC-1111,,,,,
S1113,The Object.finalize() method should not be overriden,https://rules.sonarsource.com/java/RSPEC-1113,,,,,
S1114,"""super.finalize()"" should be called at the end of ""Object.finalize()"" implementations",https://rules.sonarsource.com/java/RSPEC-1114,,,,,
S1117,Local variables should not shadow class fields,https://rules.sonarsource.com/java/RSPEC-1117,,,,,
S1119,Labels should not be used,https://rules.sonarsource.com/java/RSPEC-1119,,,,,
S1124,Modifiers should be declared in the correct order,https://rules.sonarsource.com/java/RSPEC-1124,,,,,
S1125,Boolean literals should not be redundant,https://rules.sonarsource.com/java/RSPEC-1125,,,,,
S1126,"Return of boolean expressions should not be wrapped into an ""if-then-else"" statement",https://rules.sonarsource.com/java/RSPEC-1126,,,,,
S1130,"""throws"" declarations should not be superfluous",https://rules.sonarsource.com/java/RSPEC-1130,,,,,
S1143,"Jump statements should not occur in ""finally"" blocks",https://rules.sonarsource.com/java/RSPEC-1143,,,,,
S1149,"Synchronized classes Vector, Hashtable, Stack and StringBuffer should not be used",https://rules.sonarsource.com/java/RSPEC-1149,,,,,
S1150,Enumeration should not be implemented,https://rules.sonarsource.com/java/RSPEC-1150,,,,,
S1153,String.valueOf() should not be appended to a String,https://rules.sonarsource.com/java/RSPEC-1153,,,,,
S1155,Collection.isEmpty() should be used to test for emptiness,https://rules.sonarsource.com/java/RSPEC-1155,,,,,
S1157,Case insensitive string comparisons should be made without intermediate upper or lower casing,https://rules.sonarsource.com/java/RSPEC-1157,,,,,
S1158,"Primitive wrappers should not be instantiated only for ""toString"" or ""compareTo"" calls",https://rules.sonarsource.com/java/RSPEC-1158,,,,,
S1163,Exceptions should not be thrown in finally blocks,https://rules.sonarsource.com/java/RSPEC-1163,,,,,
S1165,Exception classes should be immutable,https://rules.sonarsource.com/java/RSPEC-1165,,,,,
S1170,"Public constants and fields initialized at declaration should be ""static final"" rather than merely ""final""",https://rules.sonarsource.com/java/RSPEC-1170,,,,,
S1174,"""Object.finalize()"" should remain protected (versus public) when overriding",https://rules.sonarsource.com/java/RSPEC-1174,,,,,
S1175,"The signature of ""finalize()"" should match that of ""Object.finalize()""",https://rules.sonarsource.com/java/RSPEC-1175,,,,,
S1181,Throwable and Error should not be caught,https://rules.sonarsource.com/java/RSPEC-1181,,,,,
S1182,"Classes that override ""clone"" should be ""Cloneable"" and call ""super.clone()""",https://rules.sonarsource.com/java/RSPEC-1182,,,,,
S1190,Future keywords should not be used as names,https://rules.sonarsource.com/java/RSPEC-1190,,,,,
S1192,String literals should not be duplicated,https://rules.sonarsource.com/java/RSPEC-1192,,,,,
S1193,"Exception types should not be tested using ""instanceof"" in catch blocks",https://rules.sonarsource.com/java/RSPEC-1193,,,,,
S1195,"Array designators ""[]"" should be located after the type in method signatures",https://rules.sonarsource.com/java/RSPEC-1195,,,,,
S1197,"Array designators ""[]"" should be on the type, not the variable",https://rules.sonarsource.com/java/RSPEC-1197,,,,,
S1214,Constants should not be defined in interfaces,https://rules.sonarsource.com/java/RSPEC-1214,,,,,
S1215,Execution of the Garbage Collector should be triggered only by the JVM,https://rules.sonarsource.com/java/RSPEC-1215,,,,,
S1217,Thread.run() should not be called directly,https://rules.sonarsource.com/java/RSPEC-1217,,,,,
S1219,"""switch"" statements should not contain non-case labels",https://rules.sonarsource.com/java/RSPEC-1219,,,,,
S1221,"Methods should not be named ""tostring"", ""hashcode"" or ""equal""",https://rules.sonarsource.com/java/RSPEC-1221,,,,,
S1223,Non-constructor methods should not have the same name as the enclosing class,https://rules.sonarsource.com/java/RSPEC-1223,,,,,
S1226,"Method parameters, caught exceptions and foreach variables' initial values should not be ignored",https://rules.sonarsource.com/java/RSPEC-1226,,,,,
S1264,"A ""while"" loop should be used instead of a ""for"" loop",https://rules.sonarsource.com/java/RSPEC-1264,,,,,
S1301,"""switch"" statements should have at least 3 ""case"" clauses",https://rules.sonarsource.com/java/RSPEC-1301,,,,,
S1317,"""StringBuilder"" and ""StringBuffer"" should not be instantiated with a character ",https://rules.sonarsource.com/java/RSPEC-1317,,,,,
S1319,"Declarations should use Java collection interfaces such as ""List"" rather than specific implementation classes such as ""LinkedList""",https://rules.sonarsource.com/java/RSPEC-1319,,,,,
S1444,"""public static"" fields should be constant",https://rules.sonarsource.com/java/RSPEC-1444,,,,,
S1450,Private fields only used as local variables in methods should become local variables,https://rules.sonarsource.com/java/RSPEC-1450,,,,,
S1452,Generic wildcard types should not be used in return parameters,https://rules.sonarsource.com/java/RSPEC-1452,,,,,
S1479,"""switch"" statements should not have too many ""case"" clauses",https://rules.sonarsource.com/java/RSPEC-1479,,,,,
S1488,Local variables should not be declared and then immediately returned or thrown,https://rules.sonarsource.com/java/RSPEC-1488,,,,,
S1596,"""Collections.EMPTY_LIST"", ""EMPTY_MAP"", and ""EMPTY_SET"" should not be used",https://rules.sonarsource.com/java/RSPEC-1596,,,,,
S1598,Package declaration should match source file directory,https://rules.sonarsource.com/java/RSPEC-1598,,,,,
S1602,Lamdbas containing only one statement should not nest this statement in a block,https://rules.sonarsource.com/java/RSPEC-1602,,,,,
